id,Группа изделий,"λб.с.г·10^6, 1/ч",Кх 
0,Цилиндрические и круглые,"0,001","0,10 "
1,Печатные разъемы (PCB),"0,04","0,051 "
2,Гексагональные,"0,15","0,02 "
3,Стоечно-панельные,"0,021","0,02 "
4,Прямоугольные,"0,046","0,02 "
5,Высокочастотные коаксиальные,"0,00041","0,30"
6,Телефонные,"0,0075","0,02 "
7,Мощные,"0,007","0,02 "
8,Триаксиальные,"0,0036","0,3 "
9,"Сокеты (панельки для ИС) DIP, SIP, PGA, Chip Carrier","0,00064","0,01"
