Номер серии ИС,Типономинал ИС,Номер ТУ,Технология,"Количество элементов, бит (для ЗУ)",Тип корпуса,Группа,Подргуппа
100,100ИВ165,И63.088.068ТУ19,,277,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИД161,И63.088.068ТУ11,,141,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИД162,И63.088.068ТУ11,,141,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИД164,И63.088.068ТУ11,,159,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИЕ136,И63.088.068-15ТУ,,424,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИЕ137,И63.088.068-15ТУ,,457,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИЕ160,И63.088.068-09ТУ,,212,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИМ180,И63.088.068-09ТУ,,216,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИП179,И63.088.068-09ТУ,,128,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИП181,И63.088.068-25ТУ,,504,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИР141,И63.088.068-16ТУ,,311,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЕ106,И63.088.068-10ТУ,,45,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЕ111,И63.088.068-04ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЕ211,И63.088.068-20ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛК117,И63.088.068-01ТУ,,56,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛК121,И63.088.068-06ТУ,,64,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЛ110,И63.088.068-04ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЛ210,И63.088.068-20ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ101,И63.088.068-03ТУ,,53,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ102,И63.088.068-03ТУ,,53,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ105,И63.088.068-04ТУ,,42,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ109,И63.088.068-01ТУ,,42,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛП107,И63.088.068-01ТУ,,67,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛП115,И63.088.068-03ТУ,,32,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛП116,И63.088.068-10ТУ,,32,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛП128,И63.088.068ТУ18,,169,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛП129,И63.088.068ТУ18,,290,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛП216,И63.088.068-20ТУ,,44,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛС118,И63.088.068ТУ5,,50,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛС119,И63.088.068ТУ,,47,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100НР400,И63.088.068-04ТУ,,8,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ПУ124,И63.088.068-17ТУ,,128,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ПУ125,И63.088.068-24ТУ,,88,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТВ135,И63.088.068-20ТУ,,157,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТМ135,И63.088.068-06ТУ,,68,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТМ131,И63.088.068-10ТУ,,138,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТМ133,И63.088.068-10ТУ,,142,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТМ134,И63.088.068-06ТУ,,131,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТМ173,И63.088.068ТУ19,,171,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ТМ231,И63.088.068-20ТУ,,138,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ1,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ1А,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ2,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ2А,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ5,бК0.347.082ТУ1,,10,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ5А,бК0.347.082ТУ1,,10,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ6,бК0.347.082ТУ1,,10,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛБ6А,бК0.347.082ТУ1,,10,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД1,бК0.347.082ТУ1,,4,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД1А,бК0.347.082ТУ1,,4,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД2,бК0.347.082ТУ1,,4,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД2А,бК0.347.082ТУ1,,4,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД5,бК0.347.082ТУ1,,6,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД5А,бК0.347.082ТУ1,,6,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД6,бК0.347.082ТУ1,,6,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛД6А,бК0.347.082ТУ1,,6,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛР1,бК0.347.082ТУ3,,12,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛР1А,бК0.347.082ТУ3,,12,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛР2,бК0.347.082ТУ3,,12,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ЛР2А,бК0.347.082ТУ3,,12,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ТР1,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ТР1А,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ТР2,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
106,106ТР2А,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛБ1-4,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛБ2-4,бК0.347.082ТУ1,,18,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛБ5-4,бК0.347.082ТУ1,,10,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛБ6-4,бК0.347.082ТУ1,,10,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛД1-4,бК0.347.082ТУ1,,4,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛД2-4,бК0.347.082ТУ1,,4,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛД5-4,бК0.347.238ТУ1,,6,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛД6-4,бК0.347.238ТУ1,,6,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛР1-4,бК0.347.238ТУ1,,12,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
Б106-4,Б106ЛР2-4,бК0.347.238ТУ1,,12,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
109,109ЛИ1Т ММ,АЕЯР.431270.270ТУ,,19,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
112,112ЛД1,бК0.347.077ТУ,,14,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
112,112ТМ1,бК0.347.077ТУ,,42,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
120,120ПР1,бК0.347.039ТУ,,161,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
120,"120ХЛ1А, Б",бК0.347.375ТУ,,1037,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛА1,бК0.347.060ТУ1,,32,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛА2,бК0.347.060ТУ1,,20,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛА3,бК0.347.060ТУ1,,56,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛА4,бК0.347.060ТУ1,,45,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛА6,бК0.347.060ТУ1,,30,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛД1,бК0.347.060ТУ1,,14,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛН1,бК0.347.060ТУ2,,78,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛР1,бК0.347.060ТУ1,,38,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛР3,бК0.347.060ТУ1,,30,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ЛР4,бК0.347.060ТУ1,,23,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ТВ1,бК0.347.060ТУ1,,50,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
130,130ТМ2,бК0.347.060ТУ2,,82,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",133АГ1,И63.088.023ТУ34/02,,53,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",133АГ3,И63.088.023ТУ58/02,,156,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",133АГ3,ДР/И63.088.023ТУ58,,156,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",ЭА133АГ3,ДР/И63.088.023ТУ58,,156,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",133ИД1,ДР/И63.088.023ТУ28,,83,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",ЭА133ИД1,ДР/И63.088.023ТУ28,,83,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",133ИД3,ДР/И63.088.023ТУ33,,225,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
"133, ЭА133",ЭА133ИД3,ДР/И63.088.023ТУ33,,225,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
