Тип изделия,Номер ТУ,группа
"ЛЗ, ЛЗС",ГИ0.206.008ТУ,Линии задержки модульные
ЛЗРП,ОЮ0.206.020ТУ,Линии задержки модульные
ЛЗ,ГР0.206.045ТУ,Линии задержки модульные
ЛЗТ,ГИ0.206.004ТУ,Линии задержки модульные
"ММЛЗ, ММЛЗ-М",ОЮ0.206.003ТУ,Линии задержки микромодульные этажерочной конструкции
МЛЗ-015,ПДГ3.084.004ТУ,Линии задержки микромодульные этажерочной конструкции
2МЛЗ,ЕУ2.066.453ТУ,Линии задержки микромодульные этажерочной конструкции
