Группа изделия,Подгруппа изделия,Тип изделия,"d, шт.","λб⋅10^6, 1/ч","Тн.м, тыс. ч","Тр.γ, тыс. ч (γ = 95%)","Тхр, лет"
Микросхемы резисторные пленочные,,319НФ1Б – НФ5Б,2,"0,0092","25 (во всех режимах по ТУ); 50 (t ≤ 70°С, U / Uвх ≤ 0,5)",50 (во всех режимах по ТУ),25
Микросхемы резисторные пленочные,,Н314НР2,2,"0,0092",50 (во всех режимах по ТУ),"50 (t ≤ 85°С, Р ≤ 0,3 Вт); 60 (t ≤ 70°С, Р ≤ 0,7 Вт)",25
Микросхемы резисторные пленочные,,"Н320НР1, 2",2,"0,0092",25 (во всех режимах по ТУ),"40 (t ≤ 70°С, Р ≤ 0,2 Вт); 50 (t ≤ 85°С, Р ≤ 0,3 Вт)",25
Наборы резисторов,,НР1-3,2,"0,0092","30 (во всех режимах по ТУ); 40 (t ≤ 40°С, Р ≤ 0,25 Вт); 60 (t ≤ 25°С, Р ≤ 0,25 Вт)",50 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-17,2,"0,0092","25 (во всех режимах по ТУ); 100 (t ≤ 70°С, Р / Рн ≤ 0,5)",50 (во всех режимах по ТУ),25
Наборы резисторов,,"НР1-20, НР1-22",2,"0,0092","50 (во всех режимах по ТУ); 100 (t ≤ 50°С, Р / Рн ≤ 0,5, Uпр ≤ 50 В)",100 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-27,2,"0,0092","50 (во всех режимах по ТУ); 100 (t ≤ 85°С, Р / Рн ≤ 0,4)",100 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-28,2,"0,0092","50 (во всех режимах по ТУ); 100 (t ≤ 55°С, Р / Рн ≤ 1)",100 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-29,2,"0,0092","25 (во всех режимах по ТУ); 50 (t ≤ 40°С, Р / Рн ≤ 0,5, Uпр ≤ 50 В)",50 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-30,2,"0,0092","50 (во всех режимах по ТУ); 120 (t ≤ 40°С, Р / Рн ≤ 0,5, Uпр ≤ 50 В)",100 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-31,2,"0,0092",50 (во всех режимах по ТУ),80 (во всех режимах по ТУ),15
Наборы резисторов,,НР1-33,2,"0,0092","50 (во всех режимах по ТУ); 100 (t ≤ 70°С, Р / Рн ≤ 0,1)",100 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-43,2,"0,0092",50 (во всех режимах по ТУ),100 (во всех режимах по ТУ),25
Наборы резисторов,,"НР1-51А, Б",2,"0,0092",15 (во всех режимах по ТУ),30 (во всех режимах по ТУ),25
Наборы резисторов,,НР1-56-8,2,"0,0092","20 (во всех режимах по ТУ); 30 (t ≤ 70°С, U / Uн ≤ 0,5)",,20
Наборы резисторов,,"НР1-57-9, НР1-57-12",2,"0,0092","30 (во всех режимах по ТУ); 40 (t ≤ 60°С, U / Uн ≤ 0,5)",,25
Наборы резисторов,,НР2-2,2,"0,0092","15 (во всех режимах по ТУ); 30 (t ≤ 40°С, Р / Рн ≤ 1)",30 (во всех режимах по ТУ),15
Наборы резисторов,,НР2-6,2,"0,0092","15 (во всех режимах по ТУ); 40 (t ≤ 20°С, Р / Рн ≤ 0,5)",30 (во всех режимах по ТУ),25
Наборы резисторов,,НРК1-1,2,"0,0092","50 (во всех режимах по ТУ); 100 (t ≤ 55°С, Р / Рн ≤ 0,5)",100 (во всех режимах по ТУ),25
Наборы резисторов,,НРК1-4,2,"0,0092","30 (во всех режимах по ТУ); 60 (t ≤ 55°С, Р / Рн ≤ 0,5, U = Uпред)",60 (во всех режимах по ТУ),15
Резисторные сборки,,"Б19, Б19М, Б20К",2,"0,015",10 (во всех режимах по ТУ),20 (во всех режимах по ТУ),12
Резисторные сборки,,"Б19К-1, Б19К-2, Б19К-3",2,"0,015","20 (во всех режимах по ТУ); 60 (t ≤ 60°С, Р / Рн ≤ 0,6); 100 (t ≤ 60°С, Р / Рн ≤ 0,4)",40 (во всех режимах по ТУ),20
Резисторные сборки,,Б20М-3-1,2,"0,015","10 (во всех режимах по ТУ); 80 (t ≤ 60°С, Р / Рн ≤ 0,3)",20 (во всех режимах по ТУ),20
Поглотители,,ПР1-1*,,"0,05",20 (во всех режимах по ТУ),40 (во всех режимах по ТУ),15
Поглотители,,ПР1-И3*,,"0,05","20 (во всех режимах по ТУ); 60 (t ≤ 60°С, Р / Рн ≤ 0,2)",30 (во всех режимах по ТУ),15
Поглотители,,ПР1-7*,,"0,05","15 (во всех режимах по ТУ); 100 (t ≤ 50°С, Р = 0,25 Вт)",30 (во всех режимах по ТУ),20
Поглотители,,ПР1-10*,,"0,05",30 (во всех режимах по ТУ),50 (во всех режимах по ТУ),17
Поглотители,,ПР1-11*,,"0,05",25 (во всех режимах по ТУ),50 (во всех режимах по ТУ),25
Поглотители,,ПР1-14*,,"0,05",25 (во всех режимах по ТУ),50 (во всех режимах по ТУ),20
Поглотители,,ПРЖ1-И13*,,"0,05",10 (во всех режимах по ТУ),30 (во всех режимах по ТУ) (γ = 90%),15
Поглотители,,ПРТ1-8*,,"0,05",30 (во всех режимах по ТУ),60 (во всех режимах по ТУ) (γ = 90%),25
Поглотители,,П2-4*,,"0,05","15 (во всех режимах по ТУ); 100 (t ≤ 50°С, Р = 0,25 Вт)",30 (во всех режимах по ТУ),20
