Тип изделия,Номер ТУ,"tпер.макс, °С","tсниж, °С",Примечание,СВЧ Диапазон,Группа изделия,Подгруппа изделия
"Д214, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д215, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д231, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д232, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д233, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
Д234Б,УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д237А – В, Е, Ж",ТРЗ.362.021ТУ/Д1,160,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"МД217, 218, 218А",ТРЗ.362.067ТУ/Д1,180,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д102А, Б",ТТЗ.362.074ТУ,160,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д103А,ТТ3.362.060ТУ,160,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д103А1/СО,АЕЯР.432120.174ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д104А,ТТЗ.362.068ТУ,70,–,-60°С ≤ t ≤+70°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д104А1/СО,АЕЯР.432120.175ТУ,150,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д116А-1,аА0.339.154ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д120А1,аА0.339.382ТУ,175,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д120А2/СО,АЕЯР.432120.176ТУ,175,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д123А9,аА0.339.570ТУ,125,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д201А – Г,УЖ0.321.064ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д202В, Д, Ж, Т",УЖ3.362.035ТУ,150,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д202К, М, Р",УЖ3.362.035ТУ,150,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д203А – Д,УЖ0.336.038ТУ,140,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д204А – В,ТРЗ.362.066ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д206А – В,ТТ3.362.113ТУ,145,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д210А – Г,УЖ0.336.076ТУ,140,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д212А, Б",Ц23.362.006ТУ,140,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д212А/СО, Б/СО",АЕЯР.432120.177ТУ,140,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д212А-6,аА0.339.074ТУ,140,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д213А – Г,Ц23.362.008ТУ,140,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д213А/СО – Г/СО,АЕЯР.432120.178ТУ,140,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д213А-6, Б-6",аА0.339.073ТУ,100,–,-60°С ≤ t ≤+100°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д215Г,ТРЗ.362.095ТУ/Д2-2,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д219А, Б",аА0.339.075ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д220А – И,аА0.339.076ТУ,155,125,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д220А1 – И1,аА0.339.076ТУ/Д1,155,125,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д222А-5 – В-5,аА0.339.327ТУ,125,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д222АС – ЕС,аА0.339.327ТУ,125,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д230А – Л,аА0.339.465ТУ,140,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д231А – Г,аА0.339.375ТУ,150,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д234А – В,аА0.339.562ТУ,150,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д235А, Б",аА0.339.575ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д236А, Б",аА0.339.599ТУ,155,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д236А-6, Б-6",аА0.339.697ТУ,150,30,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д237А, Б",аА0.339.600ТУ,150,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д237А1/ПМ, Б1/ПМ",АЕЯР.432120.197ТУ,165,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д238АС – ВС,аА0.339.700ТУ,150,105,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д245А – В,аА0.339.709ТУ,155,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д249А – В,аА0.339.754ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д251А – Е,аА0.339.375ТУ,150,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д252А – В,АЕЯР.432121.005ТУ,175,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д252А-5 – В-5,АЕЯР.432121.030ТУ,155,–,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д255А-5 – В-5,АЕЯР.432121.040ТУ,125,100,с теплоотводом,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д262А-3 – Г-3,АЕЯР.432120.100ТУ,85,60,с теплоотводом,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д272Е1,АЕЯР.432120.217ТУ,150,90,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д272И1,АЕЯР.432120.217ТУ,150,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д288АС – КС,АЕЯР.432120.158ТУ,150,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2992А – В,аА0.339.585ТУ,130,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2992А/ПМ – В/ПМ,АЕЯР.432120.198ТУ,130,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2992А1/ПМ – В1/ПМ,АЕЯР.432120.198ТУ,130,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2995А – И,АЕЯР.432121.029ТУ/Д2,140,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2997А – В,аА0.339.452ТУ,130,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2998А – В,аА0.339.369ТУ,130,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д2999А,аА0.339.422ТУ,130,95,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д2999Б, В",аА0.339.422ТУ,145,95,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
3Д110А,аА0.339.698ТУ,110,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д409А9/ПН,АЕЯР.432120.200ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д409А91/ПН,АЕЯР.432120.200ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д411А, Б",аА0.339.236ТУ,125,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д413А, Б",ТТ0.336.032ТУ,130,–,- 60°С ≤ t ≤+130°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д419А – В,аА0.339.156ТУ,125,–,- 60°С ≤ t ≤+125°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д420А,аА0.339.173ТУ,180,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д510А,ТТ3.362.096ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д510А1/СО,АЕЯР.432120.276ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д520А,аА0.339.163ТУ,125,–,- 60°С ≤ t ≤+125°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д522Б,ДР3.362.029-01ТУ/02,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д528А – Ж,аА0.339.207ТУ,170,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д531А-6, Б-6",АЕЯР.432123.010ТУ,140,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д630А, Б",аА0.339.339ТУ,125,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д641В1,АЕЯР.432120.223ТУ,150,90,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д706АС-5,аА0.339.582ТУ,165,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д706АС9,аА0.339.582ТУ,165,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д707АС-5,аА0.339.583ТУ,165,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д707АС9,аА0.339.583ТУ,165,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д714АС1, АС2",АЕЯР.432120.224ТУ,150,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д802АС-1, БС-1, ВС-1",аА0.339.373ТУ,85,55,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д803АС-5,аА0.339.471ТУ,145,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д803АС9,аА0.339.471ТУ,145,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д806А, Б",аА0.339.576ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д809А, Б",аА0.339.798ТУ,100,55,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д901А-1 – Г-1,ТТ3.362.116ТУ,85,–,- 60°С ≤ t ≤+85°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д904А-1 – Е-1,ТТ3.362.133ТУ,85,–,- 60°С ≤ t ≤+85°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д906А – В,ТТ3.362.105/02ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д906А/ББ – В/ББ,АЕЯР.432120.185ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д907Б-1, Г-1",ДР3.362.014ТУ,105,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д908А, А1",ДР3.362.026ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д910А-1 – В-1,ЩИ3.360.000ТУ,85,55,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д917А, А1",ДР3.362.027ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д918Б-1, Г-1",ДР3.362.036ТУ,105,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д921А,аА0.339.253ТУ,115,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д921Б,аА0.339.253ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д922А,аА0.339.254ТУ,115,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д922Б, В",аА0.339.254ТУ,130,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д924А,аА0.339.401ТУ,120,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"2Д925А, Б",аА0.339.489ТУ,140,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д926А,аА0.339.672ТУ,110,–,- 60°С ≤ t ≤+110°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Д927А,аА0.339.776ТУ,85,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"3А529А, Б, АР, БР",ФЫ0.336.030ТУ,85,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"3А530А, Б",ФЫ0.336.033ТУ,85,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
"3А538А, А1",аА0.339.180ТУ,85,40,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
3А538АР,аА0.339.180ТУ,85,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
3А539А,аА0.339.181ТУ,85,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
3А801А-6,аА0.339.531ТУ,70,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
3Д713А – Г,АЕЯР.432120.206ТУ,150,65,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды импульсные
2Ц103А,СА3.362.037ТУ,130,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц106А – Г,Ц23.362.004ТУ,130,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц108А – В,аА0.339.044ТУ,140,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц111А-1,аА0.339.008ТУ/08,70,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц113А-1,аА0.339.072ТУ,85,–,- 60°С ≤ t ≤+85°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц113А-1/НН,АЕЯР.432120.202ТУ,85,–,- 60°С ≤ t ≤+85°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
"2Ц114А, Б",аА0.339.188ТУ,85,–,- 60°С ≤ t ≤+85°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц116А,аА0.339.443ТУ,165,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц119А,аА0.339.603ТУ,200,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц202А – Е,ТР3.362.079ТУ,135,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц203А – Е,ТР0.336.024ТУ,135,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2Ц204А,аА0.339.607ТУ,135,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Столбы выпрямительные
2В102А – Ж,ТТ4.660.003ТУ,135,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В104А – Е,ТТ4.660.006ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В105А, Б",ЩГ4.660.009ТУ,125,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В106А, Б",ТТ4.660.007ТУ,160,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В110А – Е,ТТ4.660.014ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В112А-1, Б-1",ЩГ0.336.004ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В112Б9,аА0.339.684ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В114А-1, Б-1",ЩГ0.336.006ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В116А-1 – В-1,аА0.339.130ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В119А,аА0.339.131ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В124А, Б",аА0.339.170ТУ/02,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В124АГ, АК, АР",аА0.339.170ТУ/02,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В124БГ, БК, БР",аА0.339.170ТУ/02,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В124А-5,аА0.339.298ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В124А9,аА0.339.684ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В125А,аА0.339.288ТУ/02,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В133А, АР",аА0.339.392ТУ/02,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В141А-6,аА0.339.648ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В143А – В,аА0.339.707ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В169А-1, Б-1",АЕЯР.432120.213ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2В169А-2, Б-2, В-2",АЕЯР.432120.161ТУ/Д1,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В169А9,АЕЯР.432120.161ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2В170А9,АЕЯР.432120.161ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"2ВС118А, Б",аА0.339.015ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
3В159АС,АЕЯР.432120.142ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
"3В160А, Б",АЕЯР.432120.142ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Варикапы подстроечные
2ДС523А – Г,ТТ3.362.143ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Сборки диодные
2ДС523АМ – ГМ,ТТ3.362.143ТУ/Д1,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Сборки диодные
"2ДС523АР, ВР",ТТ3.362.143ТУ/Д2,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Сборки диодные
2ДС627А,ДР3.454.000ТУ,155,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Сборки диодные
2ДС628А,ДР3.454.001ТУ,155,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Сборки диодные
2ДС807А,аА0.339.653ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Сборки диодные
2С101А – Д,аА0.339.329ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С101А-1 – Д-1,аА0.339.330ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С101А-1Н – Д-1Н,"аА0.339.330ТУ, РМ 11091.926",125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2C102А,аА0.339.350ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2C107А,СМ3.362.810ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
