Тип изделия,Номер ТУ,группа,подгруппа
РПМ14,ГЕ0.364.212ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП235,АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
РПМ15,ГЕ0.364.212ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП322,АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
РПМ16,ГЕ0.364.218ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП323,АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
РПМ17,ГЕ0.364.221ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СКП201,АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
РПМ26,Ке0.364.015ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СКП202,АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
РПММ1,Ке0.364.000ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП268,БСАР.434420.014ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
РПН23,ГЕ0.364.230ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП269,РЮМК.430420.006ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНИ-СС-4, -5, -6",НЩ0.364.059ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СКП269,РЮМК.430420.006ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНО47,бР0.364.014ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП306,РЮМК.430420.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНО48,ЖЭ0.364.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП333,РЮМК.430420.010ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНП336, СНП337",ЦСНК.434427.001ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНО49, СНО50 ГЕ0.364.246ТУ,",ГЕ0.364.246ТУ1,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП339,ЦСНК.430421.004ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНО51, 52, 53, 54",бР0.364.006ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СКП343, СКП344",ЦСНК.434427.001ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНО58, СНО59",бР0.364.021ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СКП345, СНП345",ЦСНК.430421.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНО60, СНО61",бР0.364.022ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СНП372,ПЮЯИ.430424.004ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНО63, СНО64",НЩ0.364.061ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
ППиС (РГ1Н-2),ОЮ0.364.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
"СНО68, СНО69",бР0.364.022ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
СРЛМИ2,РА0.364.001ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для объемного монтажа,"Малогабаритные, субминиатюрные, микроминиатюрные, под ленточные провода и кабели, комбинированные"
ГРПМ1,Ке0.364.006ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РППМ13,ГЕ0.364.170ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ГРПМ1У,ВКШУ.434416.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РППМ17,Ке0.364.011ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ГРПМ9,Ке0.364.009ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"РППМ18, 19, 20",ГЕ0.364.218ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ГРПМШ1-ГП2В,НЩ0.364.016ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РППМ26М,Ке0.364.018ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ГРПМШ1-ШУ2В,НЩ0.364.016ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РППМ27,ГЕ0.364.234ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ГРПП3,Ке0.364.003ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"РПС1, РПС1Э",ОЮ0.364.044ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"ГРПП72М, 72МО",БА0.364.019ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РПС1,АСЛР.434410.022ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"ГРППМ5, 6, 7, 8, 10",Ке0.364.010ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РПС1Э,КЦАЯ.430424.002ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
МРН,ОЮ0.364.003ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РПС2,Ке0.364.017ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВГ-34,НЩ0.364.060ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СКП201,АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВГ-37,НЩ0.364.019ДТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНИ-СС-1,НЩ0.364.059ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВГ-81,бР0.364.113ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНИ-СС-2,НЩ0.364.059ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВГ-86,бР0.364.113ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНИ-СС-3,НЩ0.364.059ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВГ-109,АСЛР.434410.006ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП1, 2, 3, 4",Ке0.364.025ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-31,НЩ0.364.065ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП11,бР0.364.003ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-32,НЩ0.364.065ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП14, 15, 16, 18",бР0.364.008ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-33,НЩ0.364.065ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП34, СНП34С",бР0.364.009ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-35(6),НЩ0.364.062ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП36, СНП37",бР0.364.008ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-46,НЩ0.364.065ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП41,ЖЭ3.642.059ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-53(6),НЩ0.364.074ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП49, СНП50",бР0.364.022ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-71,НЩ0.364.079ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП58, СНП59",НЩ0.364.061ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-ВС-117,СЦКН.434455.002ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП119, СНП119Д",АЯЦР.434410.003ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-КГ-77,АСЛР.434410.004ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП232,АСЛР.434430.013ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-КГ-120,АСЛР.434410.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП233,БСАР.434410.002ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-КС-10,НЩ0.364.019ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП244 – СНП247,АСЛР.434430.003ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-КС-11,НЩ0.364.019ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП260, СНП260М",БСАР.434410.003ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-КС-23,НЩ0.364.046ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП268,БСАР.430420.014ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-КС-92 АСЛР.434410.003ТУ СНП269,РЮМК.430420.006ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-НС-70,НЩ0.364.080ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СНП322, СНП323",АСЛР.434410.012ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ОНп-РС-30,НЩ0.364.065ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП306,РЮМК.430420.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
ППиС (РШ2Н-2),ОЮ0.364.007ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
СНП342,РЮМК.430420.009ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РГ1Н-3,ОЮ0.364.011ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
УСНП34,ТУ У 14308479.007-2002,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
РППМ8,ГЕ0.364.194ТУ,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
УСНП58,ТУ У 14308479.008-2002,Соединители низкочастотные на напряжение 1500 В прямоугольные для печатного монтажа,
"СР-50, СР-75",ВР0.364.007ТУ,Соединители радиочастотные,
СР-75,ВР0.364.029ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.008ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.030ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.009ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",ВР0.364.039ТУ,Соединители радиочастотные,
"СРГ-50, СРГ-75",ВР0.364.012ТУ,Соединители радиочастотные,
СР-50,ВР0.364.040ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.013ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.042ТУ,Соединители радиочастотные,
"СРГ-50, СРГ-75",ВР0.364.014ТУ,Соединители радиочастотные,
СР-50,ВР0.364.043ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.015ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.044ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",ВР0.364.018ТУ,Соединители радиочастотные,
СРГ-50,ВР0.364.047ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.019ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",ВР0.364.049ТУ,Соединители радиочастотные,
"СРГ-50, СРГ-75",ВР0.364.019ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",ВР0.364.052ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",ВР0.364.022ТУ,Соединители радиочастотные,
СР-50,ВР0.364.060ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.024ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",бР0.364.069ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.025ТУ,Соединители радиочастотные,
"СР-50, СРГ-50",бР0.364.089ТУ,Соединители радиочастотные,
"СР-50, СР-75",ВР0.364.026ТУ,Соединители радиочастотные,
"СР-50, СР-75",ОЮ0.364.032ТУ,Соединители радиочастотные,
СРГ-50,ВР0.364.026ТУ,Соединители радиочастотные,
СР-50,ГЕ0.364.235ТУ,Соединители радиочастотные,
СР-50,ВР0.364.027ТУ,Соединители радиочастотные,
СРТ-75,ЦСНК.430421.009ТУ,Соединители радиочастотные,
