,header,describtion,characteristics,section_name,link
13,"AH-100, 100 Вт, 68 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 68  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-68-om-5
14,"AH-100, 100 Вт, 100 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 100  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 155
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-100-om-5
15,"AH-100, 100 Вт, 1 кОм, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 1  ​
Единица измерения ком  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-1-kom-5
16,"AH-25, 25 Вт, 0.1 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 15
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-0.1-om-5
17,"AH-25, 25 Вт, 0.47 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.47  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 15
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-0.47-om-5
18,"AH-25, 25 Вт, 0.68 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.68  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 15
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-0.68-om-5
19,"AH-25, 25 Вт, 1 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 60.9
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-1-om-5
20,"AH-25, 25 Вт, 1.5 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 1.5  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 15
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-1.5-om-5
21,"AH-25, 25 Вт, 3.3 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 3.3  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 15
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-3.3-om-5
22,"AH-25, 25 Вт, 4.7 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 4.7  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 25  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 28
Ширина (диаметр) корпуса W(D),мм 27
Вес, г 15
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-25-25w-4.7-om-5
